genus,epithet,initial.mc.percent,treatment.all,treatment.group,treatment.group2,rep,sow,germinated,class
Strychnos,nux-vomica,36.4,baseline,baseline,baseline,1,15,10,orthodox
Strychnos,nux-vomica,36.4,baseline,baseline,baseline,2,15,13,orthodox
Strychnos,nux-vomica,36.4,baseline,baseline,baseline,3,15,14,orthodox
Strychnos,nux-vomica,36.4,dry10,dry,dry,1,15,14,orthodox
Strychnos,nux-vomica,36.4,dry10,dry,dry,2,15,14,orthodox
Strychnos,nux-vomica,36.4,dry10,dry,dry,3,15,14,orthodox
Strychnos,nux-vomica,36.4,dry20,dry,dry,1,15,11,orthodox
Strychnos,nux-vomica,36.4,dry20,dry,dry,2,15,13,orthodox
Strychnos,nux-vomica,36.4,dry20,dry,dry,3,15,15,orthodox
Strychnos,nux-vomica,36.4,dry5plusfreezer,dry,dryandfreeze,1,15,7,orthodox
Strychnos,nux-vomica,36.4,dry5plusfreezer,dry,dryandfreeze,2,15,11,orthodox
Strychnos,nux-vomica,36.4,dry5plusfreezer,dry,dryandfreeze,3,15,8,orthodox
Strychnos,nux-vomica,36.4,dry5,dry,dry,1,15,13,orthodox
Strychnos,nux-vomica,36.4,dry5,dry,dry,2,15,15,orthodox
Strychnos,nux-vomica,36.4,dry5,dry,dry,3,15,15,orthodox
Strychnos,nux-vomica,36.4,wet10,wet,wet,1,15,15,orthodox
Strychnos,nux-vomica,36.4,wet10,wet,wet,2,15,11,orthodox
Strychnos,nux-vomica,36.4,wet10,wet,wet,3,15,14,orthodox
Strychnos,nux-vomica,36.4,wet20,wet,wet,1,15,9,orthodox
Strychnos,nux-vomica,36.4,wet20,wet,wet,2,15,15,orthodox
Strychnos,nux-vomica,36.4,wet20,wet,wet,3,15,14,orthodox
Strychnos,nux-vomica,36.4,wet5,wet,wet,1,15,11,orthodox
Strychnos,nux-vomica,36.4,wet5,wet,wet,2,15,11,orthodox
Strychnos,nux-vomica,36.4,wet5,wet,wet,3,15,13,orthodox
Litsea,glutinosa,38.4,baseline,baseline,baseline,1,30,16,recalcitrant
Litsea,glutinosa,38.4,baseline,baseline,baseline,2,30,30,recalcitrant
Litsea,glutinosa,38.4,baseline,baseline,baseline,3,30,25,recalcitrant
Litsea,glutinosa,38.4,dry10,dry,dry,1,30,0,recalcitrant
Litsea,glutinosa,38.4,dry10,dry,dry,2,30,0,recalcitrant
Litsea,glutinosa,38.4,dry10,dry,dry,3,30,0,recalcitrant
Litsea,glutinosa,38.4,dry20,dry,dry,1,30,0,recalcitrant
Litsea,glutinosa,38.4,dry20,dry,dry,2,30,0,recalcitrant
Litsea,glutinosa,38.4,dry20,dry,dry,3,30,1,recalcitrant
Litsea,glutinosa,38.4,dry5plusfreezer,dry,dryandfreeze,1,30,0,recalcitrant
Litsea,glutinosa,38.4,dry5plusfreezer,dry,dryandfreeze,2,30,0,recalcitrant
Litsea,glutinosa,38.4,dry5plusfreezer,dry,dryandfreeze,3,30,0,recalcitrant
Litsea,glutinosa,38.4,dry5,dry,dry,1,30,0,recalcitrant
Litsea,glutinosa,38.4,dry5,dry,dry,2,30,0,recalcitrant
Litsea,glutinosa,38.4,dry5,dry,dry,3,30,0,recalcitrant
Litsea,glutinosa,38.4,wet10,wet,wet,1,30,24,recalcitrant
Litsea,glutinosa,38.4,wet10,wet,wet,2,30,25,recalcitrant
Litsea,glutinosa,38.4,wet10,wet,wet,3,30,26,recalcitrant
Litsea,glutinosa,38.4,wet20,wet,wet,1,30,24,recalcitrant
Litsea,glutinosa,38.4,wet20,wet,wet,2,30,24,recalcitrant
Litsea,glutinosa,38.4,wet20,wet,wet,3,30,16,recalcitrant
Litsea,glutinosa,38.4,wet5,wet,wet,1,30,17,recalcitrant
Litsea,glutinosa,38.4,wet5,wet,wet,2,30,14,recalcitrant
Litsea,glutinosa,38.4,wet5,wet,wet,3,30,23,recalcitrant
